,Character,Song,Artist,BPM,Chart Page,Chart Page.1,Chart Page.2,Chart Page.3,Chart Page.4,Unnamed: 9
0,PAFF,Body Talk,M2U,128,1,8,12,,β,
1,PAFF,Survive,Kevin Penkin feat. Nikki Simmons,131,1,5,10,,,
2,PAFF,Bullet Waiting for Me (James Landino remix),Nikki Simmons,107,1,4,11,13.0,,
3,PAFF,KANATA,mikito,130,2,6,9,12.0,β,
4,PAFF,Fight Another Day (Andy Tunstall remix),Kat Penkin,120,2,6,10,,,
5,PAFF,Baptism of Fire (CliqTrack remix),Louise Penman,140,3,7,12,,,
6,PAFF,Fireflies (Funk Fiction remix),Nikki Simmons,130,3,6,10,,,
7,PAFF,Gravity,M2U,128,3,7,12,13.0,,
8,PAFF,Re:Boost,EAjRock,175,2,5,11,13.0,,
9,PAFF,Green Hope,Re:Brych voc. Sing Sing Rabbit,194,3,7,11,,,
10,PAFF,Under the same sky,hinode,150,1,7,9,,,
11,PAFF,So In Love,MK&Kanae Asaba,130,1,6,11,,,
12,PAFF,Winter Games,"GALAXIKA, MONO TO STEREO, TIGER DARROW",118,2,5,9,,,
13,PAFF,New World,aioi feat. KAMATA JUNKO,92,3,6,10,,,
14,PAFF,SECRET;WEAPON,NOMA w/ Apo11o program ft.Yukacco,190,5,8,14,,,
15,PAFF,Lilac for Anabel,Apo11o program ft.Mayumi Morinaga,145,4,7,13,,,
16,PAFF,Who Am I?,Iris feat. Ruri Matsumura,147,2,6,10,13.0,,
17,PAFF,More Than Diamond,THE SxPLAY(菅原紗由理),126,2,5,9,,,
18,PAFF,Blossoms for Life,Shi Kuang Lee & Pico & 林子玹,120,3,7,11,,,
19,PAFF,Cityscape,Takashi OKAMOTO(12sound) feat. Tsukasa Shiraki,117,2,6,12,,,
20,PAFF,Favorites,DJ'TEKINA//SOMETHING,155,2,5,11,,,
21,PAFF,Make Me Alive,THE SxPLAY(菅原紗由理),126,3,5,10,,,
22,PAFF,Light up my love!!,onoken feat. moco,166,3,8,12,,,
23,PAFF,Super attractor,ユアミトス,195,5,9,14,,,
24,PAFF,Recall,Night Keepers,94,3,6,9,,,
25,PAFF,I Wish You Were Mine,"GALAXIKA, ELIN",138-142,3,7,11,,,
26,PAFF,PIXIE DUST,上村叶恵,110,1,5,10,,,
27,PAFF,Sleeping Beast,SNoW,147,4,7,10,,,
28,PAFF,Inspiration,Hannah,95,2,5,10,,,
29,PAFF,No-Effected World,Miki Fujimoto feat.HARUKI,126,3,6,10,,,
30,PAFF,Streetlights (ft. CassieGemini),PTB10,174,3,6,12,,,
31,PAFF,Save me Now,MadHero,140,3,7,13,,,
32,PAFF,illMenate,takenoko boy feat. moimoi,116-195,3,8,14,,,
33,PAFF,Orison,Iris feat. Jacelyn Yeo,155,3,7,13,,,
34,PAFF,So...,nikiie,125,3,6,9,,,
35,PAFF,Eutopia,nikiie,125,2,6,11,,,
36,PAFF,Fly With Love,Sing Sing Rabbit,110,3,6,10,,,
37,PAFF,変身 feat. Dirty Androids,ぷにぷに電機,105,4,7,12,,,
38,PAFF,Mirror (ft. tiki),PTB10,150,5,7,11,,,
39,NEKO#ΦωΦ,The Spark,Scott Brown & M-Project feat. Krystal,175,3,8,12,,,
40,NEKO#ΦωΦ,Resurrection,Kiryu,195,4,8,12,,,
41,NEKO#ΦωΦ,One Way Love,Tsukasa,180,2,6,9,12.0,,
42,NEKO#ΦωΦ,Happiness Breeze,3R2 as DJ Mashiro,185,3,7,12,14.0,,
43,NEKO#ΦωΦ,Alterna Pt.1 -Cosmogony-,Ayatsugu_Neverend ft.Kimi,173,2,5,12,,,
44,NEKO#ΦωΦ,Zealous Hearts (Rayark Edit),Zekk,200,3,7,12,,,
45,NEKO#ΦωΦ,Keep it up,uma,280,5,8,14,,γ,
46,NEKO#ΦωΦ,CODE NAME : GAMMA,NeLiME,210,5,9,15,,γ,
47,NEKO#ΦωΦ,Blow my mind,3R2,175,3,9,14,,,
48,NEKO#ΦωΦ,Chrome VOX,t+pazolite,205,4,9,14,15.0,,
49,NEKO#ΦωΦ,Hard Landing,Yamajet,140,3,8,11,,,
50,NEKO#ΦωΦ,Brain Power,NOMA,170-173,3,8,13,,,
51,NEKO#ΦωΦ,PrayStation (HiTECH NINJA Remix),HiTECH NINJA,153,4,8,13,,,
52,NEKO#ΦωΦ,100sec Cat Dreams,Ayatsugu_Revolved,177,4,7,14,,,
53,NEKO#ΦωΦ,REmorse,SIHanatsuka,204,5,9,15,,,
54,NEKO#ΦωΦ,Stranger,James Landino,171,2,6,12,,,
55,NEKO#ΦωΦ,小悪魔×3の大脫走！？,101-202-404,202,3,9,14,,,
56,NEKO#ΦωΦ,extinguisher,lixound,181,3,7,11,13.0,,
57,NEKO#ΦωΦ,Online,HiTECH NINJA,172,3,8,13,,,
58,NEKO#ΦωΦ,Sunday Night Blues,TERU FOX,165,2,5,9,,,
59,NEKO#ΦωΦ,For You the Bellz Toll,柳田Ethnica,195,4,7,14,,,
60,NEKO#ΦωΦ,Blow My Mind (tpz Overheat Remix),3R2 Remixed by t+pazolite,210,4,7,15,,,
61,NEKO#ΦωΦ,Maboroshi,かめりあ(EDP),190,4,9,14,,,
62,NEKO#ΦωΦ,TOKONOMA Spacewalk,t+pazolite,150,3,7,12,,,
63,NEKO#ΦωΦ,UnNOT!CED,V!C,174,4,7,13,,,
64,NEKO#ΦωΦ,下水鳴動して鼠一匹,O-SE,168-200,4,7,13,,,
65,NEKO#ΦωΦ,Capybara Kids' Paradise,Ice vs LunaticSounds,235,6,9,15,,,
66,NEKO#ΦωΦ,Walnut Walkers,fether,120-136,4,8,13,,,
67,NEKO#ΦωΦ,Hydra,James Landino X Akira Complex,160,5,8,12,15.0,,
68,NEKO#ΦωΦ,Liberation,Silaver & lixound,150-195,6,9,14,15.0,,
69,NEKO#ΦωΦ,Ramen is God,"Ramenbot a.k.a Ice VS Masahiro ""Godspeed"" Aoki",145,6,9,14,15.0,,
70,NEKO#ΦωΦ,Re:VeLΔTiØN ～光道ト破壊ノ双白翼～,"Apo11o""月読命""program vs. NeLiME OVERDRIVE",79-666,5,9,14,15.0,,
71,NEKO#ΦωΦ,Rebirth,3R2 & SIHanatsuka,145,3,7,12,15.0,,
72,NEKO#ΦωΦ,Rei,Catalyst,95,3,7,11,,,
73,NEKO#ΦωΦ,響け！,Kry.exe,180,4,8,13,,,
74,NEKO#ΦωΦ,気楽なCloudy,technoplanet feat. はるの,158,5,8,13,,,
75,NEKO#ΦωΦ,LOUDER MACHINE,NOMA,180,3,8,12,,,
76,NEKO#ΦωΦ,Dropping Lightspeed,M-Project & UTX,190,5,9,15,,,
77,NEKO#ΦωΦ,Better than your error system,HyuN,178,2,8,13,,,
78,NEKO#ΦωΦ,Headrush,floopy,138,3,6,13,,,
79,NEKO#ΦωΦ,Ready to Take the Next Step,CiX,178,5,8,15,,,
80,NEKO#ΦωΦ,ゴーストアウト,Ponchi♪ feat. はあち,270,4,9,15,,,
81,NEKO#ΦωΦ,Human Extinction,MonstDeath,199,4,8,14,,,
82,NEKO#ΦωΦ,UNIVERSAL RENDA AWESOME,ルゼ,175,5,10,15,,,
83,NEKO#ΦωΦ,Afterlife,Neutral Moon X HyuN,210,6,10,15,,,
84,ROBO_Head,Deadly Slot Game,提供,120,3,7,13,14.0,,
85,ROBO_Head,Make Me Burn,JAKAZiD,140,3,6,13,,β,
86,ROBO_Head,Restriction,Team Grimoire,175,4,7,11,,,
87,ROBO_Head,Luolimasi,SIHanatsuka,110,2,7,11,,,
88,ROBO_Head,Claim the Game,SOTUI feat. Tha Watcher,180,3,7,12,14.0,,
89,ROBO_Head,Devillic Sphere,3R2,160,3,9,13,,α,
90,ROBO_Head,Pure Powerstomper,M-Project feat. Jonjo,120-177,4,8,13,14.0,,
91,ROBO_Head,Celestial Sounds (KIVΛ Remix),3R2,187,3,8,14,,,
92,ROBO_Head,Grimoire of Crimson,Team Grimoire,177,4,8,11,,,
93,ROBO_Head,Dasein,KIVΛ,160,4,7,13,14.0,,
94,ROBO_Head,CHAOS,Æsir,80-150,5,9,14,,,
95,ROBO_Head,EMber,SIHanatsuka,145.1,3,7,13,,,
96,ROBO_Head,Midnight,提供,100,3,7,13,,,
97,ROBO_Head,Sickest City,DJ Myosuke,180,3,7,15,,,
98,ROBO_Head,Jazzy Glitch Machine,提供,120,3,8,13,,,
99,ROBO_Head,dimensionalize nervous breakdown (rev.flat),Frums,132,3,7,13,,,
100,ROBO_Head,cold,Noizenecio,190,4,7,12,,,
101,ROBO_Head,NRG_Tech,3R2,158,4,7,13,,,
102,ROBO_Head,Break Through the Barrier,lixound,176,4,8,13,,,
103,ROBO_Head,Dead Master,Neutral Moon,175,3,9,13,,,
104,ROBO_Head,Dead Point,Neutral Moon,175,4,8,13,,,
105,ROBO_Head,Nocturnal Type,switchworks,160,4,8,11,,,
106,ROBO_Head,Accelerator,Massive New Krew,150,2,7,13,,,
107,ROBO_Head,Armaros,Dj Grimoire,185,3,8,13,,,
108,ROBO_Head,Break the Core,PTB10,160,4,9,14,,,
109,ROBO_Head,Milky Way Galaxy (SIHanatsuka Remix),3R2,175,4,8,13,,,
110,ROBO_Head,ViRUS,Deepshout,150,3,8,11,,,
111,ROBO_Head,Awakening,DiagonalT,138,2,5,10,,,
112,ROBO_Head,Hagiasmos,Iris,150,5,8,12,,,
113,ROBO_Head,Fade Into The Darkness,SADA,145,5,9,13,,,
114,ROBO_Head,SHIRO,James Landino,132,2,6,12,,,
115,ROBO_Head,Tunnef's Nightmare,Neutral Moon,175,3,9,14,,,
116,ROBO_Head,Subconscious Mind,SADA 2Futureanthem,150,3,8,12,,,
117,ROBO_Head,Hyperbola,SIHanatsuka,160,3,7,12,,,
118,ROBO_Head,tundra,Noizenecio x Cookie Ramen,154,5,8,12,,,
119,ROBO_Head,Zeus,Street,174,2,7,12,,,
120,ROBO_Head,[SILENT[[・-・]]MOMENT],JAKAZiD+Apo11o program ft.Uzumaki,170,4,9,13,15.0,,
121,ROBO_Head,Ivy,Reset,SIHanatsuka,191,3,7,12.0,,
122,ROBO_Head,Ivy,D R G,onoken,155,2,6,11.0,,
123,ROBO_Head,Ivy,Sentimental Journey,switchworks,180,3,7,14.0,,
124,ROBO_Head,Ivy,Biotonic,onoken,175,3,7,13.0,,
125,ROBO_Head,Ivy,Alexandrite,onoken,175,4,7,14.0,,
126,ROBO_Head,Ivy,Tokiwatari,Yamajet,85-170,4,7,13.0,,
127,ROBO_Head,Ivy,Purge,3R2,154,4,8,12.0,,
128,ROBO_Head,Ivy,Area184,Persona,184,4,8,12.0,,
129,ROBO_Head,Ivy,BloodyMare,Tatsh Assault X,170,3,8,13.0,,
130,ROBO_Head,Ivy,AssaultMare,Tatsh Assault X,170,4,9,14.0,,
131,Lunar Mare,Ivy,xi vs sakuzyo,165,4,8,14,,,
132,99 Glooms,Ivy,Sta,185,5,7,14,15.0,,
133,Pressure,Ivy,Tsukasa,176,3,7,12,,,
134,V.,Ivy,Æsir,150,6,10,15,,,
135,Cristalisia,Ivy,onoken,134,4,6,12,,,
136,Occidens,Ivy,ginkiha,175,3,7,14,,,
137,Red Five,Ivy,Cranky,165,3,7,13,,,
138,Homebound Train & Moving Thoughts,Ivy,KillerBlood,100,1,5,10,,,
139,iL,Ivy,Ice,80-160,5,10,15,,,
140,CODE NAME : SIGMA,Ivy,NeLiME,209,5,9,15,,,
141,New Challenger Approaching,Ivy,かめりあ(EDP),140,5,8,14,,,
142,What's Your PR.Ice?,Ivy,SOTUI feat. Kry.exe,180,4,7,12,,,
143,VIS::CRACKED,Ivy,Frums,121-242,5,9,15,,,
144,Wicked Ceremony,Ivy,Ice meets t+pazolite,170,4,8,14,,,
145,Halloween Party,Ivy,SHK,155,4,9,14,,,
146,Bloody Purity,Ivy,eyemedia,155,5,8,14,,,
147,Masquerade,Ivy,M2U,128,4,7,11,,,
148,Quantum Labyrinth,Ivy,Haloweak,128,4,7,12,,,
149,Saika,Ivy,Rabpit,145,3,7,12,,,
150,To Further Dream,Ivy,Shinichi Kobayashi,140,3,7,12,,,
151,Libera Me,Ivy,Cranky,165,4,8,13,,,
152,Qualia,Ivy,KIVΛ,160,3,10,13,,,
153,DigiGroove,Ivy,Electron,110,4,7,13,,,
154,Heat Ring,Ivy,James Landino,128,3,7,11,,,
155,Leaving All Behind,Ivy,NOMA feat. Kanata.N,112-165,3,7,13,,,
156,Symmetry,Ivy,SIHanatsuka,200,4,9,15,,,
157,Time to Fight,Ivy,Paul Bazooka,180,5,9,14,,,
158,conflict,Ivy,siromaru + cranky,160,6,9,15,15.0,,
159,FREEDOM DiVE,Ivy,xi,222.2,6,10,15,,,
160,Summer Zephyr,Ivy,SUi,120,2,6,10,,,
161,Sovereign,Ivy,LureRabbit,160-220,4,8,14,,,
162,paradigm-paragramme-program,Ivy,繊(Apo11o program vs. お月さま交響曲) ft. じまんぐ,183,4,9,14,,,
163,Secret Garden,Ivy,AILE,136,3,6,11,,,
164,Halcyon,Ivy,xi,40-191,4,9,14,,,
165,Drifted Fragments,Ivy,Codly,175,5,8,13,,,
166,地下の雑踏,Ivy,technoplanet,190,4,8,14,,,
167,Dystopia,Ivy,立花綾香,175,4,7,12,,,
168,UTOPIA,Ivy,Tomggg,190,4,7,13,,,
169,Heroic Age,Ivy,Cytus,140,4,9,12,,,
170,AXION,Ivy,sakuzyo,160,3,8,13,,,
171,First Gate,Ivy,NeLiME,175,6,9,13,15.0,,
172,Oriens,Ivy,ginkiha,140-185,4,8,13,,,
173,The Last Illusion,Ivy,Kiryu,132,4,8,13,,,
174,Visions,Ivy,Tsukasa,178,1,8,12,,,
175,Crystal PuNK,Effervesce,MELOIMAGE,94,3,6,13,,,
176,Crystal PuNK,Chandelier XIII,Ring,117,3,6,12,,,
177,Crystal PuNK,Sunshine Duration,Re:Brych VOC Sing Sing Rabbit,175,3,7,12,,,
178,Crystal PuNK,Deep Dive,MELOIMAGE,116,2,6,13,,,
179,Crystal PuNK,βinαrΨ,Ring,168,4,7,12,,,
180,Crystal PuNK,Dark Madness,Shi Kuang Lee,160,4,7,13,,,
181,Crystal PuNK,Darling Staring...,technoplanet feat. はるの,198,4,7,14,,,
182,Crystal PuNK,Crimson Fate,tetsuyanao feat. ROXI CHEN(渣泥ZANI),180,4,8,13,,,
183,Crystal PuNK,Familiar Craze,MELOIMAGE,149,4,8,13,,,
184,Crystal PuNK,Malstream,MELOIMAGE,132,3,6,12,,,
185,Crystal PuNK,V.R.W (feat. shully),カラスヤサボウ,142,3,6,12,,,
186,Crystal PuNK,velkinta feat. Cikado & A-Tse,EAjRock,160,3,6,12,,,
187,Crystal PuNK,The Cross (feat. Silvia Su),Lyc,120-134,4,6,11,,,
188,Crystal PuNK,眷戀,dizLike,142,3,5,11,,,
189,Crystal PuNK,Still (Piano Version),Rua feat. K,130,2,5,9,,,
190,Crystal PuNK,Vanessa,Anchor,Iris ft. Victor Kong & Ruri Matsumura,110-150,1,5,10.0,,
191,Crystal PuNK,Vanessa,syūten,"Apo11o""COLLAPSAR""program ft.大瀬良あい",76-96,2,5,11.0,,
192,Crystal PuNK,Vanessa,Rosa Rubus,SIHanatsuka,148,2,6,11.0,,
193,XYZ,Vanessa,technoplanet,142-154,5,9,15,,,
194,II-V,Vanessa,Ring,150,3,7,12,,,
195,Chaos and Abyss -3rd Movement-,Vanessa,Ayatsugu_Revolved,180,6,10,15,,,
196,Duality,Vanessa,3R2,160,3,8,11,,,
197,Ra,Vanessa,溝口ゆうま feat. テヅカ,129-226,3,8,13,,,
198,CHAOS //System Offline//,Vanessa,Cytus,140,4,8,12,,,
199,V. //System Offline//,Vanessa,Cytus,150,4,8,13,,,
200,II,Vanessa,Cytus,130-150,5,9,14,,,
201,Used to be,Vanessa,KIVΛ,140,2,5,9,12.0,,
202,The Whole Rest,Vanessa,KIVΛ,157,4,7,12,13.0,,
203,Blessing Reunion,Vanessa,AILE,136,2,5,12,,,
204,3:00 a.m.,Vanessa,aioi feat. KAMATA JUNKO,180,3,7,12,,,
205,Installation,Vanessa,VILA,134,2,4,8,,,
206,Risoluto,Vanessa,Freeleaves,140,3,7,13,,,
207,Risoluto,Vanessa,VILA,155,4,7,12,,,
208,Incyde,Vanessa,YbeLL,180,4,8,15,,,
209,THE BEGINNING,Vanessa,Cytus,Varies,3,5,12,,,
210,Cocytus,Vanessa,Cytus,78-100,2,6,8,,,
211,Bo Bo,Vanessa,Äventyr,GrandThaw / Rigel Theatre,114-132,4,7,12.0,,
212,Bo Bo,Vanessa,NORDLYS,Rigel Theatre feat.ミーウェル,66-134,4,8,12.0,,
213,Bo Bo,Snow Blossom,yuritoworks.,140,4,8,13,,,
214,Bo Bo,Quinsialyn,MYUKKE.,130,4,7,13,,,
215,Bo Bo,黎明-REIMEI-,Tatsh,154,3,6,12,,,
216,Bo Bo,End of fireworks,MINEXO,140,3,6,11,,,
217,Bo Bo,神様と羊飼い,テヅカ,127,4,8,13,,,
218,Bo Bo,IBUKI,Analog Digital,138,4,7,12,,,
219,Bo Bo,The breath of the soul,Ryo Arue,132,4,7,14,,,
220,Bo Bo,Firstborns,SOTUI feat. Iris,175,4,8,14,,,
221,Bo Bo,Heliopolis Project,Sherwin,140,4,7,12,,,
222,Bo Bo,TSUBAKI,影虎,180,3,7,13,,,
223,Bo Bo,Vox Enchanted,アマギセーラ,130,2,5,10,,,
224,Bo Bo,King of Desert,Sync,100,3,6,12,,,
225,Bo Bo,tRinity saga,"Apo11o""比古保之""program ft.Sennzai",201,4,9,15,,,
226,Bo Bo,Tomb Robber,TERU FOX,160-180,3,7,13,,,
227,Bo Bo,New Quest,3R2,122,3,5,12,,,
228,Bo Bo,バステット (Cytus II Edit),Jehezukiel,148,4,7,12,,,
229,Graff.J,Sdorica The Story Unfolds,Sdorica,37.24-90,2,5,10,,,
230,Graff.J,Hesitant Blade,Sdorica,81-141,2,5,11,,,
231,Graff.J,FUJIN Rumble,COSIO(ZUNTATA) from GROOVE COASTER,192,5,9,15,,,
232,Graff.J,Caliburne ～Story of the Legendary sword～,Project Grimoire,140-190,4,9,15,,,
233,Graff.J,DON'T STOP ROCKIN',EB (aka EarBreaker),140,4,8,13,,,
234,Graff.J,Glorious Crown,xi,225.5,6,10,15,,,
